,Country,Year,fertilityRate,lifeExpectancy,mortalityRate,popGrowth,ruralPopPct,gdpGrowthPct,gdpUS,gdpPerCapitaUS,gdpPerCapita ppp,gdp pppInternational,gni,gniPerCapita,gniPerCapita ppp,pop14under,pop15to24,pop25to64,pop65over,hivPct,povertyRatio,totalPop,Happiness Score
250,Ireland,2016,1.81,81.70488,3.0,1.12883,37.26300000000001,4.98758,302242900803.522,63558.69793,70925.75616,337275730651.634,223150091400.0,53110.0,57920.0,1021.582,545.749,2511.0660000000007,617.382,0.2,0.0,4695.779,6.907
251,Ireland,2017,1.81,81.9561,3.0,1.17045,37.053,7.221789999999999,331430014003.047,68885.45038,76744.70732,369243421956.2321,234220940000.0,53370.0,61120.0,1026.864,558.431,2525.975,642.009,0.2,0.0,4753.279,6.977000236511231
252,Rwanda,2015,3.967,66.696,31.4,2.4740900000000003,82.99600000000002,8.867980000000003,8277613193.576309,711.7739799999998,1852.66463,21545661458.6036,5823953000000.0,710.0,1810.0,4614.872,2249.448,4199.047000000001,305.704,2.8,0.0,11369.071000000002,3.465
253,Rwanda,2016,3.885,67.12899999999999,30.1,2.4459,82.944,5.98131,8475681532.52169,711.19579,1936.98856,23084076703.9002,6506493000000.0,710.0,1890.0,4705.319,2298.107,4342.664000000002,322.737,2.8,55.5,11668.827,3.515
254,Rwanda,2017,3.809,67.49600000000001,28.9,2.41162,82.875,6.05783,9135454442.14013,748.29209,2043.49573,24947827612.2881,7429409000000.0,720.0,2000.0,4808.694,2351.44,4479.398,341.4290000000001,2.7,0.0,11980.961,3.47099995613098
255,Netherlands,2015,1.66,81.50976,3.4,0.44322,9.827,1.95917,765264949780.999,45175.23189,50302.06775,852113154375.18,690537000000.0,49810.0,50340.0,2838.149000000001,2072.824,8992.115,3035.411,0.2,,16938.499,7.377999999999999
256,Netherlands,2016,1.66,81.56098,3.4,0.53218,9.365,2.19171,783528181704.567,46007.85292,51338.57326000001,874312022859.5409,697862000000.0,46900.0,50580.0,2814.889,2065.655,8981.005,3119.746,0.2,0.0,16981.295,7.338999999999999
257,Netherlands,2017,1.66,81.56098,3.3,0.5912,8.923,2.86883,830572618849.828,48482.76621,54422.00802000001,932319528228.974,740070000000.0,46910.0,54650.0,2783.523,2059.797,8979.353000000001,3198.6740000000004,0.2,0.0,17021.346999999998,7.3769998550415
258,Nigeria,2015,5.591,52.985,68.7,2.64036,52.162,2.65269,494583180777.234,2729.76278,6070.99213,1099952941562.71,92673618171900.0,2880.0,5910.0,79936.869,34304.744,61940.733,4955.102,2.9,0.0,181137.448,5.268
259,Nigeria,2016,5.526,53.428,66.6,2.61903,51.317,-1.61687,404649527537.71295,2175.65628,5882.05885,1094002007571.27,100370320779900.0,2470.0,5760.0,82019.705,35273.921,63560.138,5106.477,2.8,0.0,185960.241,4.875
260,Nigeria,2017,5.457000000000002,53.875,64.6,2.5987,50.481,0.80589,375745486520.656,1968.42552,5887.171820000001,1123780510768.69,111384943142500.0,2100.0,5710.0,84009.266,36344.45200000001,65272.16099999999,5247.365,2.8,0.0,190873.244,5.07399988174438
261,Kazakhstan,2015,2.73,72.0,10.7,1.46148,42.809,1.2,184388432148.715,10510.77189,25123.31574,440733454040.975,38436538200000.0,11420.0,23620.0,4691.413,2618.831,9074.112,1187.66,0.2,,17572.016,5.855
262,Kazakhstan,2016,2.73,72.3,9.7,1.42205,42.736,1.1,137278320084.171,7714.841840000001,25314.86511,450454102121.25,42545106200000.0,8800.0,22930.0,4869.174,2497.002,9231.107,1233.618,0.2,,17830.901,5.919
263,Kazakhstan,2017,2.73,72.95,8.9,1.36038,42.664,4.1,162886867831.694,9030.31881,26490.84245,477835882111.652,47257067600100.0,7970.0,23580.0,5047.012,2383.953,9358.715,1290.339,0.2,,18080.019,5.8189997673034695
264,Slovenia,2015,1.57,80.77561,1.9,0.07518999999999999,46.219,2.2589,43072415017.4321,20873.16111,31623.7121,65256510254.7645,37649330000.0,22230.0,30660.0,303.844,202.099,1192.165,373.091,0.1,,2071.199,5.848
265,Slovenia,2016,1.58,81.17560999999998,1.8,0.0732,45.98,3.14836,44708598648.8562,21650.21276,33234.0904,68629792505.0515,39294910000.0,21700.0,32310.0,306.547,197.489,1186.844,383.33,0.1,0.0,2074.21,5.768
266,Slovenia,2017,1.58,81.17560999999998,1.7,0.06516,45.727,5.00081,48769655479.2388,23601.40278,36387.46435,75190619690.1202,42221740000.0,22030.0,35500.0,309.428,193.686,1178.281,394.999,0.1,0.0,2076.394,5.75799989700317
267,Saudi Arabia,2015,2.579,74.4,7.2,2.50414,16.82,4.10641,654269902880.0,20732.86172,54172.10397,1709516885630.97,2524785135800.0,23900.0,55750.0,8190.404,4831.522,17737.641,958.1,0.0,0.0,31717.667,6.4110000000000005
268,Saudi Arabia,2016,2.532,74.561,6.7,2.25142,16.599,1.67064,644935541440.0,19982.08563,54439.84007000001,1757083238507.83,2477770280400.0,21730.0,55770.0,8281.088,4862.254,18292.307,1007.798,0.0,0.0,32443.447,6.379
269,Saudi Arabia,2017,2.491,74.72,6.3,2.03193,16.378,-0.85661,686738400000.0,20849.29137,53893.14761,1775143975121.83,2619565200000.0,20090.0,54820.0,8361.046999999999,4837.719,18840.681,1061.732,0.0,0.0,33101.179,6.343999862670901
270,Philippines,2015,2.958,68.95100000000001,23.0,1.5996,53.716,6.06655,292774099013.687,2878.33837,7341.94289,746795698865.152,16114406405400.0,3520.0,8880.0,32964.143,19863.741,44585.933,4699.395,0.1,7.8,102113.212,5.073
