,Country,Time,Happiness Score,"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)",Population growth (annual %),Rural population (% of total population),GDP (current US$),GDP per capita (current US$),Population aged 14 years or younger ,Population aged 15-24 years ,Population aged 25-64 years ,Population aged 65 years or older ,"Prevalence of HIV, total (% of population ages 15-49)",Poverty headcount ratio at $1.90 a day (PPP) (% of population),Total population 
21,Germany,2015,6.75,1.5,80.64146,3.3,0.8657,22.8,3381389338658.82,41394.65816,10809.792,8664.76,44958.723,17354.136000000002,0.2,0.0,81787.411
22,Germany,2016,6.994,1.59,80.99024,3.2,0.8072199999999999,22.776,3495162856297.22,42443.46507,10944.346000000001,8666.214,45085.215,17497.993000000002,0.2,0.0,82193.768
23,Germany,2017,6.9510002136230495,1.57,80.99024,3.1,0.40859,22.739,3693204332229.78,44665.506369999996,11118.125,8683.341,45191.611,17665.332,0.2,0.0,82658.409
24,Greece,2015,4.857,1.33,81.03659,3.9,-0.65886,21.954,196591353761.226,18167.773719999997,1552.043,1086.327,5801.9130000000005,2219.467,0.2,1.5,10659.75
25,Greece,2016,5.033,1.38,81.3878,4.2,-0.41591000000000006,21.613000000000003,195222443512.93698,18116.459619999998,1523.839,1076.202,5772.16,2242.984,0.2,0.0,10615.185
26,Greece,2017,5.2270002365112305,1.38,81.3878,4.3,-0.20845999999999998,21.276,203085551429.132,18885.475980000003,1501.37,1067.646,5738.64,2261.794,0.2,0.0,10569.45
27,Hungary,2015,4.8,1.45,75.56829,4.3,-0.23786,29.5,123074092703.14099,12503.68207,1412.775,1142.326,5514.736,1708.086,0.1,0.5,9777.923
28,Hungary,2016,5.145,1.53,76.06341,4.1,-0.29511,29.221,126007978024.32,12839.58454,1401.602,1115.558,5480.0509999999995,1755.764,0.1,0.0,9752.975
29,Hungary,2017,5.32399988174438,1.53,76.06341,3.8,-0.26586,28.938000000000002,139761138102.757,14278.8745,1398.396,1084.389,5439.445,1807.5929999999998,0.1,0.0,9729.823
30,Iceland,2015,7.561,1.8,82.46829,1.7,1.0419399999999999,6.3,17344165907.2129,52428.595760000004,67.082,47.157,170.71400000000003,45.29,0.0,0.0,330.24300000000005
31,Iceland,2016,7.501,1.74,82.20488,1.7,1.38808,6.265,20716024757.4057,61757.94931,66.921,46.512,172.03900000000002,46.733999999999995,0.0,0.0,332.20599999999996
32,Iceland,2017,7.50400018692017,1.74,82.20488,1.6,2.34558,6.227,24488467010.4793,71311.78512,66.844,45.688,173.623,48.238,0.0,0.0,334.39300000000003
33,Ireland,2015,6.94,1.85,81.45366,3.1,0.94485,37.461999999999996,291092489805.942,61908.79452999999,1017.6110000000001,535.374,2504.345,595.095,0.2,0.2,4652.425
34,Ireland,2016,6.907,1.81,81.70488,3.0,1.12883,37.263000000000005,302242900803.522,63558.697929999995,1021.582,545.749,2511.0660000000003,617.382,0.2,0.0,4695.779
35,Ireland,2017,6.9770002365112305,1.81,81.9561,3.0,1.17045,37.053000000000004,331430014003.047,68885.45038,1026.864,558.431,2525.975,642.009,0.2,0.0,4753.279
36,Italy,2015,5.9479999999999995,1.35,82.5439,3.0,-0.09638,30.435,1832273032580.67,30170.5166,8308.565999999999,5856.525,33117.244,13296.159,0.2,2.0,60578.494000000006
37,Italy,2016,5.977,1.34,83.2439,2.9,-0.16988,30.145,1869117192194.75,30829.528739999998,8253.006,5854.51,33067.197,13488.347,0.2,0.0,60663.06
38,Italy,2017,5.96400022506714,1.34,83.2439,2.9,-0.14986,29.855999999999998,1943835376341.56,32110.027260000003,8175.8240000000005,5847.628000000001,32998.855,13651.393999999998,0.2,0.0,60673.700999999994
39,Japan,2015,5.987,1.45,83.7939,2.1,-0.10612,8.619,4394977752877.82,34567.74568,0.0,0.0,0.0,0.0,0.1,0.0,0.0
40,Japan,2016,5.921,1.44,83.98488,1.9,-0.11528,8.543,4949273341993.88,38972.340639999995,0.0,0.0,0.0,0.0,0.1,0.0,0.0
41,Japan,2017,5.92000007629395,1.43,84.09976,1.9,-0.16448,8.465,4872415104314.68,38430.29124,0.0,0.0,0.0,0.0,0.1,0.0,0.0
42,Luxembourg,2015,6.946000000000001,1.47,82.29268,2.2,2.35995,9.821,57204400105.015,100428.36796,92.82,69.995,324.615,79.311,0.2,0.2,566.741
43,Luxembourg,2016,6.871,1.41,82.68536999999999,2.1,2.15531,9.54,58961235412.2227,101305.52772,94.069,71.944,331.909,81.342,0.3,0.0,579.264
44,Luxembourg,2017,6.86299991607666,1.41,82.68536999999999,2.1,2.43098,9.273,62316359824.1281,104498.73867,95.09100000000001,73.421,339.899,83.499,0.3,0.0,591.91
45,Mexico,2015,7.187,2.215,76.933,12.7,1.3349,20.715,1170564619927.69,9298.24288,33676.71,21969.9,58017.026,8194.622,0.3,0.0,121858.258
46,Mexico,2016,6.778,2.184,77.118,12.2,1.3017299999999998,20.423,1077779580638.77,8450.494009999999,33676.043,22048.118,59132.117,8477.098,0.3,2.5,123333.37599999999
47,Mexico,2017,6.57800006866455,2.153,77.305,11.5,1.2644,20.133,1150887823404.18,8910.33318,33614.044,22097.937,60280.058,8785.285,0.3,0.0,124777.32400000001
48,Netherlands,2015,7.377999999999999,1.66,81.50976,3.4,0.44322,9.827,765264949780.999,45175.231889999995,2838.1490000000003,2072.824,8992.115,3035.4109999999996,0.2,0.0,16938.499
49,Netherlands,2016,7.3389999999999995,1.66,81.56098,3.4,0.53218,9.365,783528181704.567,46007.85292,2814.889,2065.655,8981.005,3119.7459999999996,0.2,0.0,16981.295
50,Netherlands,2017,7.3769998550415,1.66,81.56098,3.3,0.5912,8.923,830572618849.828,48482.76621,2783.5229999999997,2059.797,8979.353000000001,3198.6740000000004,0.2,0.0,17021.346999999998
51,New Zealand,2015,7.2860000000000005,1.99,81.45683000000001,4.6,1.88905,13.659,177620948761.31,38649.3785,921.561,658.293,2358.78,675.898,0.1,0.0,4614.532
